Unnamed: 0,Cena,Kompozice bytu,Rozměry bytu,Lokace,Čistá cena
142,23 000 Kč/měsíc,120,2+kk,"Nádražní, Luhačovice",23000
143,13 700 Kč/měsíc,45,2+kk,"Příčná, Otrokovice - Kvítkovice",13700
145,12 000 Kč/měsíc,40,1+1,Racková,12000
146,20 000 Kč/měsíc,58,2+kk,"Bartošova, Zlín",20000
147,13 500 Kč/měsíc,40,1+kk,"Sadová, Zlín",13500
148,18 000 Kč/měsíc,49,2+kk,"Tyršovo nábřeží, Zlín",18000
149,19 000 Kč/měsíc,79,4+1,"Na Honech II, Zlín",19000
150,39 900 Kč/měsíc,100,4+kk,Luhačovice,39900
151,9 000 Kč/měsíc,40,2+kk,"V Dolině, Zlín - Jaroslavice",9000
152,14 900 Kč/měsíc,47,2+kk,"K Luhám, Zlín - Louky",14900
